longitude,latitude,date,name
94.48215,25.30986,2010-07-29,Ukhrul
94.1167,25.616,2013-12-07,Kohima
94.1351,25.4769,2010-08-10,Senapati
93.4333,24.75,2007-10-21,Tamenglong
94.3619,25.0985,2013-09-24,Ukhrul
88.6586,27.6163,2015-05-24,Bop
95.0243,26.7223,2016-04-19,Techahan
93.4341,24.7625,2013-08-17,Tamenglong
93.816,27.0987,2015-09-06,Itanagar
92.899,22.533,2007-07-30,Lawngtlai
92.9296,23.591,2010-09-13,Aizawl
88.6069,27.3383,2007-05-23,Pangthang
93.5063,24.9829,2013-01-09,Tamenglong
94.48265,25.31006,2010-08-15,Ukhrul
93.5,24.9925,2009-08-20,Tamenglong
95.3429,28.9205,2014-06-26,Arunachal
93.5935,24.8286,2011-05-31,Gaoilung
90.2023,25.5145,2015-08-18,Tura
92.967,22.479,2007-07-30,Saiha
96.1779,27.8965,2010-04-21,Arunachal
94.1099,25.6682,2011-06-28,Phek
96.174,27.9032,2014-08-05,Lohit
94.1079,25.4191,2011-07-07,Maram
94.9921,26.8716,2010-07-20,Mon
92.35,27.4,2008-10-29,West
94.7499,26.0977,2013-07-06,Helipong
96.5242,28.0791,2011-03-22,Anjaw
88.6083,27.3341,2010-04-17,Natl
94.5466,26.0319,2015-06-24,New
93.7706,27.1249,2014-01-10,Karsingsa
95.8011,27.174,2012-06-25,Tirap
95.86,28.4659,2012-08-04,Endulin
93.4093,25.0672,2011-05-22,Tamenglong
94.25,27.8776,2013-01-06,Upper
93.487,24.9037,2013-01-09,Tamenglong
94.3864,26.1147,2013-01-07,Thillong
88.6236,27.3425,2007-10-09,Rhodong
93.5142,24.9818,2015-07-24,Tamenglong
94.9275,26.8727,2013-08-16,Longlem
92.7463,23.7327,2014-07-14,Zembabawk
94.8158,26.1984,2010-08-19,Tuensang
94.803,26.0814,2010-08-14,Kiphire
88.3603,27.0377,2012-09-14,Takdah
93.9136,25.7428,2007-08-28,Phesema
92.7878,23.3572,2015-08-26,Sailam
94.11603,25.6156,2010-08-19,Kisima
94.8833,26.4333,2010-06-17,Shayoung
94.1884,25.3833,2013-08-15,Koide
94.7031,26.0977,2013-07-06,Kuthur
94.1383,25.48,2016-07-25,Senapati
94.9731,26.4205,2013-08-16,Yakshu
93.6885,27.1034,2011-05-08,Itanagar
93.3729,25.1019,2015-11-08,Tousem
88.559,27.3773,2010-07-21,Singtam
94.8133,26.2363,2010-06-07,Tuensang
94.1051,25.6278,2015-08-19,Phesama
92.71419,23.74183,2010-09-13,Hunthar
91.7174,23.0137,2014-08-14,Sabroom
94.9152,26.222,2010-08-14,Noklak
94.5163,26.0137,2013-04-08,Zunheboto
90.215,25.5114,2015-06-16,Nakham
94.7861,25.8877,2010-06-07,Kiphire
94.3551,24.819,2015-07-31,Phungyar
92.2121,25.463,2015-06-13,Ratacherra
95.2253,27.8458,2012-09-19,Arunachal
90.0896,25.5006,2014-10-20,South
94.5234,25.8376,2013-04-08,Tizu
94.4619,26.0481,2013-04-08,Phizo
88.6458,27.1748,2012-07-06,Rolep
94.5224,26.0214,2015-08-19,Zunheboto
93.4251,24.7459,2015-11-08,Nungba
96.9262,27.8835,2015-08-16,Hawai
96.5316,28.0822,2016-01-05,Anjaw
94.5497,26.1807,2013-04-08,Zhekuto
94.4703,25.6633,2010-08-10,Phek
95.029,26.72,2013-01-07,Wokha
94.108,25.4192,2011-07-29,Maram
94.6024,25.426,2013-10-13,Tusom
94.5238,26.0093,2010-06-07,Zunheboto
93.7525,27.1614,2013-02-09,Arunachal
94.23412,25.51615,2011-06-21,Phek
94.3415,25.0634,2015-07-31,Naga
88.38,27.1499,2007-07-16,Bardang
93.6884,27.1032,2011-07-19,Itanagar
94.0,27.163,2008-08-14,Pare
92.9064,27.2743,2011-07-16,Mebua
93.9854,25.5007,2015-07-22,Willong
94.1057,25.6263,2015-08-20,between
94.7596,28.1737,2015-08-18,Arunachal
93.6086,27.0869,2014-08-17,Arunachal
93.0514,23.8447,2015-08-26,Phullen
91.8666,25.5772,2014-09-23,Mawbah
88.2426,27.3425,2013-01-09,Tamabong
94.1136,25.6237,2015-12-08,Phesama
88.3651,27.1675,2012-09-16,Namchi
92.694,23.7527,2010-09-16,Aizawl
94.25,26.138,2008-08-19,Wokha
94.1066,25.67,2008-08-29,Kohima
92.7362,23.7131,2015-06-19,Muanna
94.9439,26.3897,2013-08-16,Tobu
92.3807,25.1416,2015-08-19,Tongseng
92.72124,23.73479,2009-05-10,Chhinga
88.5292,27.172,2016-10-15,Rangpo
92.7187,23.7313,2015-09-14,Aizawl
93.6795,25.1604,2012-04-03,Tamenlong
88.609,27.337,2008-08-28,Ranka
95.8776,28.4298,2010-05-31,Anini
92.6351,27.0136,2016-01-07,Old
93.6287,27.0998,2008-06-14,Itanagar
95.4993,26.9986,2012-06-25,Khonsa
93.0515,27.8837,2013-01-08,Polo
92.8416,22.7176,2010-09-13,Hual
93.8794,25.5098,2015-07-22,Yangkhullen
94.4182,24.8628,2009-08-30,Ukhrul
