longitude,latitude,date,name
94.48215,25.30986,2010-07-29,Ukhrul
93.9413,25.7658,2013-07-17,National
94.0885,25.7131,2013-07-17,National
94.1078,24.1419,2015-01-08,between
94.1167,25.616,2013-12-07,Kohima
94.1351,25.4769,2010-08-10,Senapati
93.1645,25.5215,2009-08-20,Hills
91.2,25.8833,2010-09-06,Ishok
94.0462,25.3179,2010-09-10,NH
93.4333,24.75,2007-10-21,Tamenglong
94.3619,25.0985,2013-09-24,Ukhrul
88.6586,27.6163,2015-05-24,Bop
91.885,25.5728,2010-06-28,Police
95.0243,26.7223,2016-04-19,Techahan
93.4341,24.7625,2013-08-17,Tamenglong
93.816,27.0987,2015-09-06,Itanagar
93.028,25.1553,2010-01-04,Cachar
92.899,22.533,2007-07-30,Lawngtlai
92.8573,25.1175,2012-03-06,between
88.5287,27.1761,2009-08-20,NH
92.9296,23.591,2010-09-13,Aizawl
88.6069,27.3383,2007-05-23,Pangthang
93.5063,24.9829,2013-01-09,Tamenglong
93.3613,25.5125,2011-06-29,Portions
94.48265,25.31006,2010-08-15,Ukhrul
93.5,24.9925,2009-08-20,Tamenglong
95.3429,28.9205,2014-06-26,Arunachal
93.871,27.6438,2016-12-06,NH
93.5935,24.8286,2011-05-31,Gaoilung
94.0989,27.2298,2008-06-15,Lakhimpur
91.8584,25.9703,2015-06-09,Umling
90.2023,25.5145,2015-08-18,Tura
91.88,25.38,2007-07-26,Singtam
91.7351,26.1548,2011-09-23,Maighuli
92.967,22.479,2007-07-30,Saiha
96.1779,27.8965,2010-04-21,Arunachal
94.1099,25.6682,2011-06-28,Phek
93.9815,24.004,2015-01-08,Chandel
92.9914,25.5242,2010-09-10,road
93.9157,24.6869,2011-07-25,Manipur
96.174,27.9032,2014-08-05,Lohit
94.1079,25.4191,2011-07-07,Maram
94.9921,26.8716,2010-07-20,Mon
91.87443,26.09748,2016-07-19,th
92.35,27.4,2008-10-29,West
88.7334,27.3702,2010-04-09,th
94.3429,24.3527,2011-07-22,Manipur
94.7499,26.0977,2013-07-06,Helipong
96.5242,28.0791,2011-03-22,Anjaw
88.6083,27.3341,2010-04-17,Natl
94.5466,26.0319,2015-06-24,New
93.7706,27.1249,2014-01-10,Karsingsa
94.2442,26.1677,2016-12-06,on
95.8011,27.174,2012-06-25,Tirap
95.86,28.4659,2012-08-04,Endulin
93.4221,24.7505,2010-08-27,NH
94.0489,25.4477,2015-07-22,kms
94.5808,26.284,2013-04-08,Nanga
91.7351,26.149,2012-06-20,Lalunggaon
93.4093,25.0672,2011-05-22,Tamenglong
94.1016,24.1988,2015-01-08,between
94.25,27.8776,2013-01-06,Upper
91.7356,26.1475,2012-02-06,Guwahati
93.487,24.9037,2013-01-09,Tamenglong
93.9827,25.4538,2015-07-22,kms
94.3864,26.1147,2013-01-07,Thillong
88.6236,27.3425,2007-10-09,Rhodong
92.7239,24.5202,2016-05-18,Hailakandi
93.5142,24.9818,2015-07-24,Tamenglong
91.7998,26.1985,2014-09-22,Noonmati
94.1139,25.6269,2013-12-07,National
94.0564,24.4279,2007-11-09,NH
94.9275,26.8727,2013-08-16,Longlem
93.7273,27.0011,2010-10-09,districts
92.7463,23.7327,2014-07-14,Zembabawk
88.708,27.3721,2013-08-06,Km
90.5573,25.203,2016-07-19,Hills
94.8158,26.1984,2010-08-19,Tuensang
92.4943,24.4638,2016-05-18,Karimganj
92.74129,23.75407,2010-09-13,road
94.803,26.0814,2010-08-14,Kiphire
94.1318,25.7902,2016-10-07,National
93.4957,24.8961,2010-08-19,km
88.3603,27.0377,2012-09-14,Takdah
92.3576,24.8669,2014-09-05,Satgarakul
93.9136,25.7428,2007-08-28,Phesema
92.7878,23.3572,2015-08-26,Sailam
94.11603,25.6156,2010-08-19,Kisima
94.8833,26.4333,2010-06-17,Shayoung
91.7548,26.1314,2014-09-22,Dakhingaon
94.4922,26.1699,2016-11-07,North
94.1167,27.2333,2008-10-29,North
92.6921,24.1293,2007-09-29,National
94.01442,25.03562,2011-06-28,Ikou
94.1884,25.3833,2013-08-15,Koide
91.7042,26.1666,2015-09-23,Kamakhya
94.7031,26.0977,2013-07-06,Kuthur
94.1383,25.48,2016-07-25,Senapati
94.1139,25.6269,2013-07-15,National
92.9974,24.7979,2015-07-22,Lakhipur
91.7082,26.1044,2014-09-22,Garchuk
93.8275,24.9336,2008-06-19,Namkaoluang
94.9731,26.4205,2013-08-16,Yakshu
93.6885,27.1034,2011-05-08,Itanagar
93.0153,27.4888,2011-08-15,East
94.1434,23.899,2015-01-08,Tuitung
94.3136,25.0118,2016-07-07,Imphal
