longitude,latitude,date,name
93.335972,27.241524,06-06-2021,Leporiang Landslide
95.274842,28.122053,13-08-2021,Sirki Waterfall Landslide
95.181389,28.153611,27-06-2021,Rotlung Landslide
94.748649,28.849609,13-08-2021,Tuting Yingkiong_landslide
94.721322,27.784222,13-08-2021,Likabali Basar landslide
94.842537,28.936253,17-06-2021,Pekong Landslide
94.467809,27.965813,08-07-2021,Tode landslide
93.622322,27.095983,31-05-2021,IG Park Landslide
92.43801,27.326763,05-06-2021,BCT Road Landslide
92.479767,27.208119,25-05-2021,Nechipu_Saddle_landslide
95.603611,26.911944,22-06-2021,Kuthong Landslide
95.235101,28.214774,30-06-2021,Pasighat_Yingkiong_Landslide
94.71335,27.796145,30-06-2021,Garu Landslide
92.303984,27.186597,28-04-2021,Membachur Garbow landslide
94.9963,28.233722,27-06-2021,Sangam bridge_collapse
94.073954,27.794025,09-09-2021,Raga landslide
92.566072,27.104442,20-09-2021,20 landslides BCT road
91.694636,26.162784,18-06-2021,Water works_colony_landslide
93.110996,26.574761,25-08-2021,Burapahar Landslide
91.690161,26.170251,20-10-2021,Pandu landslide
91.810523,26.154238,06-08-2021,Borabari landslide
93.820138,25.217562,06-06-2021,Tujang Waichong_landslide
93.509375,24.503658,20-08-2021,S_kholep_landslide
93.677995,25.158298,24-06-2021,Tamel landslide
93.857702,25.241119,02-08-2021,Lamlenkon landslide
93.56119,24.826041,16-08-2021,Awang khul landslide
93.677995,25.158298,07-06-2021,Tamei2 landslide
94.160246,24.319566,26-07-2021,Chahmol landslide
93.440246,24.818353,19-07-2021,Thingou landslide
94.358421,25.091769,16-06-2021,Mini Secretariat landiside
93.332535,24.767366,19-07-2021,Sibilong temple landslide
93.915829,24.005219,09-10-2021,Khulmulen-Sajik landslide
91.86466,25.585545,24-02-2021,Sonapani landslide
90.214668,25.499358,30-06-2021,Tura dalu stretch
92.362063,25.081742,02-08-2021,Kuliang landslide
90.831915,25.202693,30-06-2021,Malikona_Village_landslide
92.761693,22.130154,26-08-2021,Zochachhuah landslide
92.816565,22.805047,19-07-2021,Bualtei landslide
92.741738,23.74192,11-06-2021,Thuampui landslide
92.859428,23.689863,09-10-2021,Thingsulthliah landslide
93.805655,25.793499,02-02-2021,TL Park landslide
94.254627,26.092899,06-08-2021,Lower Etsuchuka Colony landslide
93.806,25.772599,17-02-2021,TL Park 2 landslide
94.767115,26.046657,20-07-2021,Wangshu_PwD Road_landslide
94.438812,25.657788,12-07-2021,Losami Phek landslide
