system:index,count,elevation,grid_id,grid_uid,ndvi,population,rain_1d,rain_30d,rain_7d,slope,soil_moisture,soil_type,.geo
+3451+894,1,411.45454545454544,3451500894,+3451+894,0.5033107830418481,,0.0,407.11661132176715,128.10681660970053,14.13873844796961,0.311301585855005,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.00258136489407,24.092815920085567],[93.02953082341764,24.092815920085567],[93.02953082341764,24.119765378609152],[93.00258136489407,24.119765378609152],[93.00258136489407,24.092815920085567]]]}"
+3451+895,1,785.4166666666666,3451500895,+3451+895,0.49698518796099556,,0.0,415.2680969238281,132.20742416381836,17.16902352703942,0.311301585855005,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.00258136489407,24.119765378609152],[93.02953082341764,24.119765378609152],[93.02953082341764,24.146714837132738],[93.00258136489407,24.146714837132738],[93.00258136489407,24.119765378609152]]]}"
+3451+896,1,408.55555555555554,3451500896,+3451+896,0.5262398645281792,,23.360981941223145,416.02227568626404,140.7494476636251,13.820098413361443,0.31192301861953126,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.00258136489407,24.146714837132738],[93.02953082341764,24.146714837132738],[93.02953082341764,24.173664295656323],[93.00258136489407,24.173664295656323],[93.00258136489407,24.146714837132738]]]}"
+3451+897,1,342.11764705882354,3451500897,+3451+897,0.5101738216148483,,28.033178329467773,416.1731114387512,142.45785236358643,11.215915757067064,0.31204730517243684,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.00258136489407,24.173664295656323],[93.02953082341764,24.173664295656323],[93.02953082341764,24.20061375417991],[93.00258136489407,24.20061375417991],[93.00258136489407,24.173664295656323]]]}"
+3451+899,1,174.56,3451500899,+3451+899,0.4718739257918464,,27.94557285308838,420.8315669298172,137.35119024912515,8.55092357635498,0.3124151531782684,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.00258136489407,24.227563212703497],[93.02953082341764,24.227563212703497],[93.02953082341764,24.254512671227083],[93.00258136489407,24.254512671227083],[93.00258136489407,24.227563212703497]]]}"
+3451+900,1,257.96875,3451500900,+3451+900,0.5017087418172095,,26.945297241210938,440.8187108039856,134.81378078460693,11.029258817434311,0.3142543932074281,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.00258136489407,24.254512671227083],[93.02953082341764,24.254512671227083],[93.02953082341764,24.28146212975067],[93.00258136489407,24.28146212975067],[93.00258136489407,24.254512671227083]]]}"
+3452+894,1,671.2857142857143,3452500894,+3452+894,0.4759603788455327,,3.5051934983995228,400.8876723249753,128.54577679104275,16.881163678850445,0.3101606064191148,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.02953082341764,24.092815920085567],[93.05648028194123,24.092815920085567],[93.05648028194123,24.119765378609152],[93.02953082341764,24.119765378609152],[93.02953082341764,24.092815920085567]]]}"
+3452+895,1,1060.0,3452500895,+3452+895,0.498284546037515,,5.257790247599284,409.67796162764233,133.27707449595133,13.778831508424547,0.3101606064191148,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.02953082341764,24.119765378609152],[93.05648028194123,24.119765378609152],[93.05648028194123,24.146714837132738],[93.02953082341764,24.146714837132738],[93.02953082341764,24.119765378609152]]]}"
+3452+896,1,826.9722222222222,3452500896,+3452+896,0.4937049390541183,,24.846355809105766,412.0044124888049,142.1013197633955,12.564287741978964,0.31074897436125487,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.02953082341764,24.146714837132738],[93.05648028194123,24.146714837132738],[93.05648028194123,24.173664295656323],[93.02953082341764,24.173664295656323],[93.02953082341764,24.146714837132738]]]}"
+3452+897,1,424.69444444444446,3452500897,+3452+897,0.4980602115392685,,28.764068921407063,412.46970266103745,143.86616881688437,11.997494432661268,0.31086664794968294,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.02953082341764,24.173664295656323],[93.05648028194123,24.173664295656323],[93.05648028194123,24.20061375417991],[93.02953082341764,24.20061375417991],[93.02953082341764,24.173664295656323]]]}"
+3452+898,1,239.16666666666666,3452500898,+3452+898,0.4825843299428622,,28.475671768188477,415.1366534233093,142.71177180608115,9.510057336754269,0.31086664794968294,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.02953082341764,24.20061375417991],[93.05648028194123,24.20061375417991],[93.05648028194123,24.227563212703497],[93.02953082341764,24.227563212703497],[93.02953082341764,24.20061375417991]]]}"
+3452+899,1,207.27777777777777,3452500899,+3452+899,0.4929947745468881,,27.943659252590603,418.93041609393225,142.09807705879211,7.69925320148468,0.31141720558410335,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.02953082341764,24.227563212703497],[93.05648028194123,24.227563212703497],[93.05648028194123,24.254512671227083],[93.02953082341764,24.254512671227083],[93.02953082341764,24.227563212703497]]]}"
+3452+900,1,191.63888888888889,3452500900,+3452+900,0.4796696851650874,,25.283596674601238,437.89922944704693,139.02960332234701,7.096048444509506,0.3141699937562057,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.02953082341764,24.254512671227083],[93.05648028194123,24.254512671227083],[93.05648028194123,24.28146212975067],[93.02953082341764,24.28146212975067],[93.02953082341764,24.254512671227083]]]}"
+3452+901,1,283.97222222222223,3452500901,+3452+901,0.48843416654401356,,22.22516181733873,452.27795406182605,137.69957823223538,10.561814314789242,0.3141699937562057,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.02953082341764,24.28146212975067],[93.05648028194123,24.28146212975067],[93.05648028194123,24.308411588274254],[93.02953082341764,24.308411588274254],[93.02953082341764,24.28146212975067]]]}"
+3452+902,1,230.19354838709677,3452500902,+3452+902,0.5027256823248334,,16.10829210281372,481.0354032913844,135.03952805201212,8.05059685245637,0.3141699937562057,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.02953082341764,24.308411588274254],[93.05648028194123,24.308411588274254],[93.05648028194123,24.33536104679784],[93.02953082341764,24.33536104679784],[93.02953082341764,24.308411588274254]]]}"
+3452+903,1,205.15151515151516,3452500903,+3452+903,0.5022731605503294,,19.90610893567403,480.99097083012265,133.21232517560324,9.400325077952761,0.31758269421767626,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.02953082341764,24.33536104679784],[93.05648028194123,24.33536104679784],[93.05648028194123,24.362310505321425],[93.02953082341764,24.362310505321425],[93.02953082341764,24.33536104679784]]]}"
+3452+904,1,160.36111111111111,3452500904,+3452+904,0.5095204959313074,,23.703925768534344,480.9465383688609,131.38512229919434,4.925557138191329,0.32099539467914656,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.02953082341764,24.362310505321425],[93.05648028194123,24.362310505321425],[93.05648028194123,24.38925996384501],[93.02953082341764,24.38925996384501],[93.02953082341764,24.362310505321425]]]}"
+3452+905,1,121.11764705882354,3452500905,+3452+905,0.4894723817706108,,20.56366464826796,498.0456451310052,130.229703479343,4.619861432734658,0.32099539467914656,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.02953082341764,24.38925996384501],[93.05648028194123,24.38925996384501],[93.05648028194123,24.416209422368595],[93.02953082341764,24.416209422368595],[93.02953082341764,24.38925996384501]]]}"
+3452+906,1,76.93939393939394,3452500906,+3452+906,0.4625230088002152,,18.993534088134766,506.59519851207733,129.65199406941733,2.6805887935739574,0.32099539467914656,3.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[93.02953082341764,24.416209422368595],[93.05648028194123,24.416209422368595],[93.05648028194123,24.44315888089218],[93.02953082341764,24.44315888089218],[93.02953082341764,24.416209422368595]]]}"
