system:index,date,elevation,landslide,ndvi,population,rain_1d,rain_30d,rain_7d,slope,soil_moisture,soil_type,.geo
1_0000000000000000003e_11,2015-07-20,1432.0,0,0.3614,0.5501265525817871,4.156102657318115,195.35348495841023,58.54599595069885,1.715603752757866,0.588850736618042,4.0,"{""type"":""Point"",""coordinates"":[94.35510446483909,24.818999735395487]}"
1_00000000000000000074_0,2015-09-23,1582.0,1,0.48355,51.78814315795898,112.53922271728516,325.2088858783245,90.70881421864031,2.100947005593099,0.5146885514259338,4.0,"{""type"":""Point"",""coordinates"":[91.89299844087579,25.582999814387634]}"
2_356,2015-07-15,4319.0,0,0.6323000000000001,0.0262374468147754,0.0,170.84274125099182,24.7925021648407,2.633707653480773,0.3270630836486816,9.0,"{""type"":""Point"",""coordinates"":[93.0253995991247,30.284054242539767]}"
1_00000000000000000006_0,2016-04-19,673.0,1,0.622,2.0892016887664795,14.100921630859377,309.12129171937704,68.18888568878174,0.9134079655190928,0.5540863275527954,4.0,"{""type"":""Point"",""coordinates"":[95.02429959633393,26.722300133543058]}"
1_000000000000000000a4_43,2016-10-28,1392.0,0,0.8647,3.0931291580200195,0.8809260129928589,66.09545896016061,4.118893414735794,8.348490577749098,0.3460370898246765,7.0,"{""type"":""Point"",""coordinates"":[88.28909946026819,27.2675991422679]}"
1_0000000000000000001c_15,2015-06-09,1549.0,0,0.7094,3.880750894546509,7.4054856300354,123.33629040420055,11.04455667734146,2.164178177821364,0.3560417890548706,4.0,"{""type"":""Point"",""coordinates"":[94.54660055957933,26.031901976539082]}"
1_000000000000000000a4_0,2016-12-10,1392.0,1,0.7786500000000001,3.0931291580200195,0.0055902283638715,2.3511078003793955,0.1532367337495088,8.348490577749098,0.183549553155899,7.0,"{""type"":""Point"",""coordinates"":[88.28909946026819,27.2675991422679]}"
1_0000000000000000008d_70,2016-05-19,3008.0,0,0.6323000000000001,2.003990173339844,1.0304970741271973,131.54204290360212,44.49811029434204,11.209954374310223,0.4866856932640075,7.0,"{""type"":""Point"",""coordinates"":[91.86440222582004,27.574799991142942]}"
1_00000000000000000037_0,2015-08-19,1759.0,1,0.22725,2.0288805961608887,5.752781867980957,292.7888647764921,22.01874332129956,9.10783193098852,0.4858375191688537,4.0,"{""type"":""Point"",""coordinates"":[94.10510050517661,25.627800402671607]}"
1_00000000000000000074_0,2015-09-23,1582.0,1,0.48355,51.78814315795898,112.53922271728516,325.2088858783245,90.70881421864031,2.100947005593099,0.5146885514259338,4.0,"{""type"":""Point"",""coordinates"":[91.89299844087579,25.582999814387634]}"
1_0000000000000000007c_0,2015-06-19,1084.0,1,0.66515,0.7727735042572021,15.426180839538574,451.2804508805275,161.98102223873138,3.238599414439065,0.5923081636428833,4.0,"{""type"":""Point"",""coordinates"":[93.68599851536533,25.160000570255654]}"
1_0000000000000000003f_0,2015-06-13,1339.0,1,0.5228,2.7846500873565674,37.34410095214844,1095.2218257188797,377.5184364318848,0.6062023433384056,0.5935814380645752,4.0,"{""type"":""Point"",""coordinates"":[92.21209617136142,25.46300094593835]}"
1_0000000000000000002c_0,2015-08-26,1106.0,1,0.5315500000000001,0.2307460010051727,9.06180191040039,969.1016721762716,285.7018928527832,1.4516296734089102,0.2854285538196563,4.0,"{""type"":""Point"",""coordinates"":[92.78780179016972,23.357199391650646]}"
1_0000000000000000008c_0,2015-09-14,729.0,1,0.4927,42.22117233276367,54.83388519287109,314.9794540833682,53.07415550947189,2.981040342479487,0.1416346579790115,4.0,"{""type"":""Point"",""coordinates"":[92.71869464204343,23.734800527957493]}"
1_00000000000000000084_47,2016-06-11,1446.0,0,0.63005,0.9696077704429626,8.135575294494629,364.9457321758382,61.43153682351112,2.828578836682584,0.5887714624404907,4.0,"{""type"":""Point"",""coordinates"":[93.37830270627335,23.53970147956607]}"
1_00000000000000000062_31,2015-05-19,776.0,0,0.6817500000000001,18.58562088012696,0.0353552661836147,274.273919261992,92.6493176817894,3.661251905802795,,4.0,"{""type"":""Point"",""coordinates"":[92.73619661367819,23.713102542231425]}"
1_0000000000000000005a_0,2015-08-26,782.0,1,0.6691,0.2525131106376648,6.558448791503906,339.32818884402514,102.18665373325348,2.461799520745203,0.3234198689460754,4.0,"{""type"":""Point"",""coordinates"":[93.05139708984314,23.844699532520718]}"
1_0000000000000000005a_16,2015-08-10,782.0,0,0.65335,0.2525131106376648,0.8146998286247253,444.942202091217,76.67449235916138,2.461799520745203,0.2882216870784759,4.0,"{""type"":""Point"",""coordinates"":[93.05139708984314,23.844699532520718]}"
1_0000000000000000001c_0,2015-06-24,1549.0,1,0.6434500000000001,3.880750894546509,2.3308913707733154,220.4172586202621,117.5946478843689,2.164178177821364,0.5999426245689392,4.0,"{""type"":""Point"",""coordinates"":[94.54660055957933,26.031901976539082]}"
1_00000000000000000046_63,2015-09-06,412.0,0,0.58435,0.3851194977760315,12.562862396240234,528.9234120249748,119.15498906373978,2.6090928099123336,0.4854564070701599,4.0,"{""type"":""Point"",""coordinates"":[93.42510097182925,24.74589723272529]}"
1_0000000000000000006b_0,2016-01-07,243.0,1,0.7162000000000001,0.6513684988021851,0.0,9.51235693693161,2.2671191543340683,3.147268323005943,0.3130865395069122,4.0,"{""type"":""Point"",""coordinates"":[92.63509987459446,27.01359982806151]}"
1_00000000000000000037_0,2015-08-19,1759.0,1,0.22725,2.0288805961608887,5.752781867980957,292.7888647764921,22.01874332129956,9.10783193098852,0.4858375191688537,4.0,"{""type"":""Point"",""coordinates"":[94.10510050517661,25.627800402671607]}"
1_0000000000000000003c_0,2015-06-16,595.0,1,0.5721,18.04590034484864,29.34074592590332,931.777134038508,506.8668241500855,3.894401782138583,0.529167115688324,4.0,"{""type"":""Point"",""coordinates"":[90.21499412345356,25.511400028772453]}"
1_00000000000000000045_0,2015-08-19,1412.0,1,0.41605,0.8273353576660156,1.1261811256408691,262.8162403330207,4.382797531783581,5.972905855764185,0.2923885881900787,4.0,"{""type"":""Point"",""coordinates"":[94.52240101816228,26.021400793558218]}"
1_00000000000000000051_0,2015-07-31,1422.0,1,0.6475000000000001,1.855826735496521,28.18237495422364,240.49490159749985,58.9872876405716,2.756665760187212,0.5954873561859131,4.0,"{""type"":""Point"",""coordinates"":[94.34149974752502,25.063398605033797]}"
2_904,2015-07-15,5135.0,0,0.5147,0.033548504114151,0.0,75.60791602637619,49.21097585558891,3.352941955808979,0.3840399980545044,7.0,"{""type"":""Point"",""coordinates"":[91.11508610133166,30.160765493098488]}"
2_1088,2015-07-15,5230.0,0,0.19425,0.0241696294397115,0.0,55.22508446127176,42.79172247648239,6.173395476704258,0.192133218050003,9.0,"{""type"":""Point"",""coordinates"":[89.68233353033064,28.50242916118636]}"
1_00000000000000000005_0,2015-05-24,2448.0,1,0.1668,0.0281807817518711,2.167102336883545,171.47024601697922,26.298676252365112,10.069018938222223,0.3029817640781402,9.0,"{""type"":""Point"",""coordinates"":[88.65859840996093,27.616300844647363]}"
