R,V,S,E,P,H,landslide
0.616,0.269,0.822,0.709,0.926,0.433,1
0.5,0.783,0.656,0.623,0.297,0.495,1
0.619,0.624,0.323,0.62,0.173,0.571,0
0.314,0.431,0.593,0.37,0.424,0.424,0
0.903,0.48,0.943,0.439,0.357,0.938,1
0.242,0.506,0.751,0.178,0.929,0.582,1
0.758,0.412,0.853,0.7,0.127,0.528,1
0.368,0.063,0.78,0.2,0.427,0.817,1
0.433,0.534,0.901,0.186,0.869,0.497,1
0.72,0.276,0.823,0.062,0.44,0.657,1
0.847,0.542,0.697,0.347,0.138,0.82,1
0.196,0.79,0.879,0.246,0.674,0.648,0
0.597,0.8,0.351,0.926,0.416,0.405,1
0.538,0.75,0.775,0.484,0.768,0.545,1
0.249,0.266,0.684,0.772,0.776,0.699,1
0.635,0.285,0.545,0.395,0.713,0.549,1
0.266,0.763,0.85,0.337,0.198,0.737,0
0.515,0.698,0.796,0.639,0.882,0.327,1
0.382,0.349,0.442,0.814,0.825,0.709,1
0.438,0.544,0.89,0.213,0.589,0.185,0
0.418,0.171,0.405,0.104,0.874,0.203,1
0.693,0.665,0.911,0.33,0.336,0.512,1
0.26,0.734,0.603,0.645,0.373,0.579,1
0.576,0.756,0.67,0.755,0.459,0.599,0
0.392,0.511,0.471,0.371,0.358,0.471,0
0.429,0.262,0.505,0.267,0.293,0.696,0
0.597,0.176,0.849,0.631,0.511,0.604,1
0.355,0.192,0.866,0.501,0.421,0.351,1
0.417,0.324,0.705,0.629,0.49,0.448,1
0.506,0.554,0.876,0.221,0.567,0.829,1
0.265,0.613,0.371,0.252,0.145,0.632,0
0.395,0.6,0.941,0.708,0.489,0.707,1
0.563,0.657,0.941,0.671,0.885,0.7,1
0.116,0.218,0.709,0.401,0.529,0.348,0
0.193,0.114,0.614,0.497,0.731,0.254,0
0.407,0.822,0.302,0.669,0.825,0.126,0
0.561,0.439,0.76,0.603,0.152,0.54,1
0.907,0.59,0.829,0.768,0.349,0.163,0
0.398,0.201,0.752,0.607,0.197,0.047,1
0.17,0.532,0.362,0.664,0.664,0.469,0
0.139,0.552,0.586,0.684,0.653,0.694,1
0.397,0.691,0.175,0.663,0.465,0.528,0
0.848,0.186,0.69,0.308,0.392,0.279,1
0.148,0.618,0.68,0.423,0.775,0.233,1
0.412,0.479,0.574,0.182,0.343,0.66,0
0.539,0.59,0.554,0.689,0.401,0.741,0
0.32,0.468,0.804,0.118,0.743,0.199,1
0.696,0.639,0.887,0.649,0.491,0.686,1
0.697,0.893,0.501,0.509,0.403,0.742,0
0.194,0.528,0.606,0.427,0.667,0.176,0
0.59,0.335,0.833,0.492,0.56,0.327,1
0.611,0.268,0.647,0.575,0.703,0.858,1
0.422,0.252,0.411,0.44,0.851,0.414,1
0.28,0.86,0.16,0.49,0.323,0.797,1
0.768,0.824,0.426,0.658,0.324,0.174,1
0.21,0.985,0.682,0.747,0.491,0.154,0
0.335,0.928,0.79,0.695,0.743,0.777,1
0.599,0.241,0.937,0.618,0.722,0.641,1
0.679,0.55,0.901,0.758,0.817,0.881,1
0.79,0.635,0.764,0.864,0.471,0.332,1
0.29,0.352,0.507,0.959,0.42,0.177,1
0.749,0.479,0.975,0.26,0.316,0.308,1
0.504,0.331,0.809,0.642,0.281,0.319,0
0.5,0.566,0.838,0.485,0.077,0.291,0
0.429,0.944,0.587,0.468,0.227,0.261,0
0.757,0.751,0.686,0.453,0.609,0.616,0
0.169,0.903,0.875,0.945,0.817,0.783,1
0.17,0.22,0.554,0.741,0.016,0.559,1
0.795,0.387,0.516,0.506,0.651,0.754,1
0.611,0.589,0.929,0.143,0.603,0.132,1
0.841,0.723,0.315,0.314,0.394,0.342,1
0.696,0.352,0.537,0.429,0.906,0.37,1
0.387,0.617,0.222,0.527,0.289,0.465,0
0.731,0.621,0.739,0.829,0.133,0.594,0
0.652,0.681,0.809,0.645,0.379,0.493,0
0.338,0.279,0.568,0.63,0.459,0.793,0
